"(PDH-CSV 4.0) (Mountain Standard Time)(420)","\\WS2012-JJ\Process(w3wp)\Working Set - Private","\\WS2012-JJ\Process(w3wp)\% Processor Time","\\WS2012-JJ\Process(sqlservr)\Working Set - Private","\\WS2012-JJ\Process(sqlservr)\% Processor Time","\\WS2012-JJ\SQLServer:Transactions\Transactions","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613706123109482[1588])\SoftConnectsPerSecond","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613706123109482[1588])\NumberOfPooledConnections","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613706123109482[1588])\NumberOfActiveConnections"
"11/24/2014 23:31:27.764","120152064"," ","104067072"," ","7"," ","5","5"
"11/24/2014 23:31:28.789","168058880","283.32430944292116","104067072","1.5232489754995759","10","16.603426836114451","5","4"
"11/24/2014 23:31:29.791","299122688","372.05315364517253","104067072","7.78353877918771","10","19.957815634921808","5","4"
"11/24/2014 23:31:30.792","362532864","358.39910101136223","104083456","9.3495417655137967","8","16.980905912260678","5","4"
"11/24/2014 23:31:31.794","362303488","339.35026933908949","104083456","14.009873504824794","10","18.960313350501632","5","4"
"11/24/2014 23:31:32.811","378568704","331.61940657867041","104083456","13.817475274111265","8","15.745199945539095","5","4"
"11/24/2014 23:31:33.812","397250560","347.49338490229434","104091648","1.5582663000102885","8","15.982128325205098","5","4"
"11/24/2014 23:31:34.814","397406208","379.83453195054125","104091648","4.6700967043099322","10","23.949158439137097","5","4"
"11/24/2014 23:31:35.815","398733312","344.37413478750796","104108032","1.5582540035633843","8","13.984174972860709","5","4"
"11/24/2014 23:31:36.817","401752064","378.27424707113255","104464384","6.2267365773025931","7","24.94674447509211","8","4"
"11/24/2014 23:31:37.818","403804160","350.6097423933906","104673280","4.6747965652452077","7","23.97265229919898","10","7"
"11/24/2014 23:31:38.820","403353600","365.82227059019345","104681472","9.3401430788985564","10","20.955358826685266","10","7"
"11/24/2014 23:31:39.822","403763200","366.19144657779509","104681472","6.2330458991965116","12","21.97606575909457","10","6"
"11/24/2014 23:31:40.825","403918848","384.12105457759765","104857600","3.1102919398995761","8","21.930821824581948","10","6"
"11/24/2014 23:31:41.826","403652608","353.72231617709855","104857600","6.2329923555435869","11","23.973374786051874","10","7"
"11/24/2014 23:31:42.827","403791872","367.7501855919885","104890368","6.2330539930845505","10","23.973336319219094","10","9"
"11/24/2014 23:31:43.841","403529728","384.18743892443968","104890368","3.0734995113955175","10","23.642868052889479","10","4"
"11/24/2014 23:31:44.844","403660800","387.61632456582038","104890368","1.5566920665293993","10","23.948203753978984","10","4"
"11/24/2014 23:31:45.845","403693568","384.89181454870146","104890368","3.116532911325518","13","27.96862896114478","10","10"
"11/24/2014 23:31:46.846","403750912","378.65576068885576","104890368","4.6747624776401953","7","22.974064247376791","10","10"
"11/24/2014 23:31:47.849","403865600","382.94789153990547","104898560","4.6700962382915305","12","22.951139276958369","10","7"
"11/24/2014 23:31:48.850","404639744","381.77779855466764","104898560","3.1165534575891236","9","35.960895090259001","10","4"
"11/24/2014 23:31:49.856","404586496","356.61684498885478","104902656","4.6515240650720191","9","56.653526770049034","10","4"
"11/24/2014 23:31:50.856","404410368","355.63537169447346","104919040","7.7990213090893308","10","55.992296170082014","10","6"
"11/24/2014 23:31:51.857","404299776","373.97722529256487","104919040","9.3494306323141227","10","53.936909902861039","10","9"
"11/24/2014 23:31:52.858","404578304","367.74269203984409","104919040","10.9076222215208","11","22.973541769709385","10","7"
"11/24/2014 23:31:53.861","404414464","365.46258184599691","104919040","3.110319845497846","11","23.920114704178573","10","9"
"11/24/2014 23:31:54.863","404733952","376.71921695752485","104939520","6.2267639166533035","10","18.962568006399355","10","8"
"11/24/2014 23:31:55.872","404103168","354.36432017370925","104947712","12.379539569387221","11","27.775498115202321","10","9"
